,Name,Breed,Birth,Gender,Fur,Number,Title,Father,Mother
109,Eliza-San av Drotten,Helig birma (SBI),1972-01-30,Hona,brunmaskad (n),(SE)SVERAK LO 16490,IC,(SE)SVERAK LO 14140,(SE)SVERAK LO 12150
110,Hvens Basthi,Helig birma (SBI),1977-08-21,Hona,brunmaskad (n),(SE)SVERAK LO 24389,,(SE)SVERAK LO 16617,(SE)SVERAK LO 16490
111,Hassellidens Yami,Helig birma (SBI),1981-02-21,Hona,brunmaskad (n),(SE)SVERAK LO 34184,,(SE)SVERAK LO 24024,(SE)SVERAK LO 24389
112,Sinh Jaora af Silverbäcken,Helig birma (SBI),1976-05-17,Hona,brunmaskad (n),(SE)SVERAK LO 22135,,(SE)SVERAK LO 20014,(SE)SVERAK LO 16858
113,Apollon,Helig birma (SBI),1978-06-09,Hane,brunmaskad (n),(SE)SVERAK LO 24987 B,CH,(SE)SVERAK LO 24283,(SE)SVERAK LO 22135
114,Fairy Queen's Daphne,Helig birma (SBI),1981-02-21,Hona,brunmaskad (n),(SE)SVERAK LO 34505,,(SE)SVERAK LO 24987 B,(SE)SVERAK LO 24892
115,Darmagne's Asterix,Helig birma (SBI),1975-04-05,Hane,brunmaskad (n),(SE)SVERAK LO 20713,IC,(SE)SVERAK LO 16617,(SE)SVERAK LO 18796
116,Darmagne's Gwendolyn,Helig birma (SBI),1978-04-21,Hona,brunmaskad (n),(SE)SVERAK LO 24922 B,,(SE)SVERAK LO 20713,(SE)SVERAK LO 24012
117,Balthazar,Helig birma (SBI),1981-02-09,Hane,brunmaskad (n),(SE)SVERAK LO 34518,IC,(SE)SVERAK LO 24832,(SE)SVERAK LO 24922 B
118,Änghagens Afrodite,Helig birma (SBI),1981-03-10,Hona,brunmaskad (n),(SE)SVERAK LO 34536,CH,(SE)SVERAK LO 24020,(SE)SVERAK LO 30262
119,Hassellidens Miko,Helig birma (SBI),1973-11-13,Hane,brunmaskad (n),(SE)SVERAK LO 18789,,(SE)SVERAK LO 16276,(SE)SVERAK LO 16377
120,Hassellidens Jennie,Helig birma (SBI),1979-09-01,Hona,blåmaskad (a),(SE)SVERAK LO 30023,,(SE)SVERAK LO 24024,(SE)SVERAK LO 20783
121,Muntaz Mahal's Ami,Helig birma (SBI),1981-07-17,Hona,blåmaskad (a),(SE)SVERAK LO 36295,IC,(SE)SVERAK LO 30636,(SE)SVERAK LO 30023
122,Cherie-San av Drotten,Helig birma (SBI),1971-03-04,Hona,brunmaskad (n),(SE)SVERAK LO 14964,,(SE)SVERAK LO 14140,(SE)SVERAK LO 14167
123,Katschin Aisa,Helig birma (SBI),1973-08-16,Hona,brunmaskad (n),(SE)SVERAK LO 18722,,(SE)SVERAK LO 14581,(SE)SVERAK LO 14964
124,Sinh Xenti af Silverbäcken,Helig birma (SBI),1977-08-14,Hona,brunmaskad (n),(SE)SVERAK LO 24804,,(SE)SVERAK LO 18214,(SE)SVERAK LO 20297
125,Fjordkattens Blå Oliver,Helig birma (SBI),1980-11-09,Hane,blåmaskad (a),(SE)SVERAK LO 34115,CH,(SE)SVERAK LO 26354,(SE)SVERAK LO 18722
126,Moränens Bianca,Helig birma (SBI),1979-07-31,Hona,brunmaskad (n),(SE)SVERAK LO 30010,,(SE)SVERAK LO 24283,(SE)SVERAK LO 24804
127,Katitzi,Helig birma (SBI),1981-11-04,Hona,blåmaskad (a),(SE)SVERAK LO 36704,,(SE)SVERAK LO 34115,(SE)SVERAK LO 30010
128,Kattlangarna's Darwha,Helig birma (SBI),1979-03-27,Hona,brunmaskad (n),(SE)SVERAK LO 28039,,(SE)SVERAK LO 24283,(SE)SVERAK LO 22217
129,"PR
    Kattekronan's Cupido",Helig birma (SBI),1982-01-02,Hane,brunmaskad (n),(SE)SVERAK LO 36788,",,GIC",(SE)SVERAK LO 32877,(SE)SVERAK LO 28039
